time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
07/01/1985 00.00,43.12,65.571,76.732,0.3886,0.3375
07/01/1985 01.00,43.12,65.571,76.732,0.3926,0.3058
07/01/1985 02.00,43.12,65.571,76.732,0.3133,0.2433
07/01/1985 03.00,43.551,65.571,76.732,0.2663,0.2214
07/01/1985 04.00,43.581,65.571,76.732,0.2512,0.2009
07/01/1985 05.00,44.238,65.571,76.732,0.292,0.1989
07/01/1985 06.00,45.616,64.458,75.449,0.3271,0.1932
07/01/1985 07.00,47.308,64.045,75.459,0.2659,0.1662
07/01/1985 08.00,47.164,64.244,75.459,0.1993,0.1437
07/01/1985 09.00,44.892,61.813,73.928,0.2113,0.1314
07/01/1985 10.00,42.629,60.166,71.165,0.2951,0.1744
07/01/1985 11.00,43.131,60.24,71.165,0.275,0.1242
07/01/1985 12.00,43.966,61.631,73.161,0.2485,0.0928
07/01/1985 13.00,45.443,62.967,74.148,0.2771,0.0878
07/01/1985 14.00,47.333,64.257,74.747,0.2161,0.0941
07/01/1985 15.00,63.245,70.65,76.732,0.2049,0.1041
07/01/1985 16.00,63.245,90.339,76.732,0.1916,0.1082
07/01/1985 17.00,63.245,90.339,76.819,0.1459,0.1049
07/01/1985 18.00,63.245,90.339,76.732,0.1243,0.0793
07/01/1985 19.00,63.245,90.339,76.732,0.0593,0.0486
07/01/1985 20.00,63.245,85.649,76.732,0.0222,0.0305
07/01/1985 21.00,63.245,87.842,76.732,0.048,0.0338
07/01/1985 22.00,47.499,69.297,76.732,0.2315,0.1561
07/01/1985 23.00,48.843,72.153,76.732,0.2027,0.1351
08/01/1985 00.00,50.995,92.922,76.976,0.2727,0.1162
08/01/1985 01.00,50.995,92.922,76.976,0.2045,0.0846
08/01/1985 02.00,50.995,92.922,76.976,0.2414,0.0667
08/01/1985 03.00,50.995,92.922,76.976,0.2482,0.0457
08/01/1985 04.00,50.995,92.922,76.976,0.2131,0.0397
08/01/1985 05.00,52.702,93.526,76.976,0.1777,0.0192
08/01/1985 06.00,54.245,92.202,75.581,0.1403,0.0038
08/01/1985 07.00,92.904,82.594,73.344,0.1318,0
08/01/1985 08.00,54.023,67.042,61.489,0.0996,0
08/01/1985 09.00,49.379,62.297,52.942,0.1274,0
08/01/1985 10.00,46.079,60.293,50.907,0.2412,0.0174
08/01/1985 11.00,45.642,60.293,50.907,0.1912,0
08/01/1985 12.00,45.642,60.293,50.907,0.1385,0
08/01/1985 13.00,46.307,61.018,51.348,0.1104,0
08/01/1985 14.00,47.919,61.277,54.45,0.1454,0.0077
08/01/1985 15.00,51.574,65.589,73.344,0.1831,0.0173
08/01/1985 16.00,72.914,93.944,76.976,0.1679,0.0171
08/01/1985 17.00,72.669,92.922,76.976,0.1559,0.0185
08/01/1985 18.00,72.196,92.922,76.976,0.1536,0.0161
08/01/1985 19.00,51.508,92.922,76.976,0.1498,0.0002
08/01/1985 20.00,51.121,92.922,76.976,0.1386,0
08/01/1985 21.00,50.995,92.922,76.976,0.0963,0
08/01/1985 22.00,50.995,92.922,76.976,0.0689,0
08/01/1985 23.00,50.995,92.922,76.976,0.0649,0
09/01/1985 00.00,46.973,116.475,76.095,0,0
09/01/1985 01.00,46.973,116.475,76.095,0,0
09/01/1985 02.00,46.973,116.475,76.095,0,0
09/01/1985 03.00,46.973,116.475,76.095,0,0
09/01/1985 04.00,46.973,116.475,76.095,0,0
09/01/1985 05.00,46.973,116.475,76.095,0,0
09/01/1985 06.00,46.286,65.121,63.448,0,0
09/01/1985 07.00,47.273,62.583,62.441,0,0
09/01/1985 08.00,46.916,63.208,62.638,0,0
09/01/1985 09.00,44.391,59.741,60.159,0,0.0091
09/01/1985 10.00,42.702,58.999,58.788,0,0.0722
09/01/1985 11.00,42.702,59.753,58.788,0,0.1158
09/01/1985 12.00,43.659,59.827,61.254,0,0.1622
09/01/1985 13.00,46.124,60.604,61.912,0.0022,0.2071
09/01/1985 14.00,46.973,62.29,62.244,0.0065,0.2482
09/01/1985 15.00,59.563,105.967,75.154,0.0307,0.2992
09/01/1985 16.00,66.998,117.555,76.095,0.0702,0.3422
09/01/1985 17.00,66.998,117.986,76.095,0.0956,0.3518
