HA production forecast,Realised Balancing Price,System Signal 
0.2663,32.158,1
0.2218,210.4116147,1
0.2635,210.4116147,1
0.2804,210.4116147,1
0.2888,32.158,0
0.3014,32.302,0
0.2793,33.697,0
0.2828,35.92,0
0.248,43.76,0
0.319,35.551,1
0.4865,35.382,0
0.3294,34.745,0
0.1969,33.888,0
0.3023,33.888,0
0.306,34.174,0
0.4482,34.522,0
0.5138,43.722,0
0.5654,43.722,0
0.4887,40.282,0
0.3062,40.282,0
0.3349,35.367,0
0.3005,210.4116147,1
0.3465,210.4116147,1
0.3684,210.4116147,1
0.3727,33.169,0
0.3976,33.169,0
0.4184,33.169,0
0.379,33.169,0
0.3619,33.169,0
0.5316,33.169,0
0.6383,33.846,0
0.5377,40.775,0
0.5721,38.14,0
0.7514,32.909,0
0.837,32.377,0
0.8991,32.567,0
0.9981,32.567,0
0.9991,32.861,0
1,33.169,0
1,33.846,0
0.9651,39.046,0
0.9608,210.4116147,1
0.9956,210.4116147,1
1,210.4116147,1
1,210.4116147,1
1,210.4116147,1
1,210.4116147,1
1,210.4116147,1
1,32.478,1
1,32.478,1
1,210.4116147,1
1,32.478,1
1,210.4116147,1
1,210.4116147,1
1,210.4116147,1
1,210.4116147,1
1,42.791,0
1,34.188,0
1,33.336,0
1,31.766,0
0.8783,31.766,0
0.9562,32.296,0
0.9437,33.021,0
0.7611,34.188,0
0.947,36.537,0
0.9596,38.041,0
0.9291,36.732,0
0.601,34.902,0
0.6765,34.078,0
0.3348,33.332,0
0.2811,210.4116147,1
0.4927,210.4116147,1
0.4178,33.284,0
0.4428,33.284,0
0.2102,33.284,0
0.1701,33.284,0
0.1849,33.284,0
0.0954,33.284,0
0,34.056,0
0.1729,36.931,0
0.37,210.4116147,1
0.4856,210.4116147,1
0.2285,210.4116147,1
0.2066,210.4116147,1
0.1982,33.665,0
0.1814,33.665,0
0.2514,33.879,0
0.2327,34.277,0
0.4548,40.86,0
0.659,45.754,0
0.8842,38.609,0
0.4924,36.21,0
0.6635,34.581,0
0.3952,34.324,0
0.5624,33.298,0
0.509,33.284,0
0.5477,210.4116147,1
0.691,34.09,0
0.5507,34.09,0
0.6432,34.09,1
0.3899,42.48216831,1
0.3502,210.4116147,1
0.2828,210.4116147,1
0.2342,210.4116147,1
0.2364,210.4116147,1
0.2009,210.4116147,1
0.0989,210.4116147,1
0.0946,210.4116147,1
0.114,210.4116147,1
0.0874,210.4116147,1
0.1329,210.4116147,1
0.1328,210.4116147,1
0.1938,210.4116147,1
0.2943,210.4116147,1
0.2694,210.4116147,1
0.3069,40.045,1
0.3754,210.4116147,1
0.3097,210.4116147,1
0.428,210.4116147,1
0.3631,34.09,0
0.3096,210.4116147,1
0.3372,210.4116147,1
0.3374,33.118,0
0.2299,210.4116147,1
0.2296,210.4116147,1
0.1706,210.4116147,1
0.0905,210.4116147,1
0.1733,210.4116147,1
0.2404,210.4116147,1
0.3195,210.4116147,1
0.4478,210.4116147,1
0.3638,210.4116147,1
0.6098,210.4116147,1
0.4461,210.4116147,1
0.5113,210.4116147,1
0.6809,210.4116147,1
0.5273,210.4116147,1
0.5625,210.4116147,1
0.472,210.4116147,1
0.4769,210.4116147,1
0.5011,210.4116147,1
0.5116,210.4116147,1
0.3333,210.4116147,1
0.3264,210.4116147,1
0.356,35.171,0
0.2493,35.171,0
0.1962,1.081276,0
0.2664,0,0
0.1241,0,0
0.1551,0,0
0.0998,0,0
0.0878,1.081276,0
0.1864,35.489,0
0.17,0,0
0.1372,8.176,0
0.0927,0,0
0.1363,0,0
0.1441,0,0
0.0871,37.098,0
0.0642,39.629,0
0.1915,210.4116147,1
0.1133,210.4116147,1
0.1586,210.4116147,1
0.1003,210.4116147,1
0.0225,50.364,1
0.016,1.081276,0
0.0572,1.081276,0
0,41.799,0
0.0282,47.389,0
0.0048,47.389,1
0,47.389,1
0,47.389,1
0,47.389,1
0,47.679,1
0,210.4116147,1
0,210.4116147,1
0,210.4116147,1
0.0695,210.4116147,1
0.1583,210.4116147,1
0.2076,210.4116147,1
0.2326,210.4116147,1
0.3344,46.807,0
0.3222,47.206,0
0.2219,48.069,0
0.2738,61.414,0
0.4081,60.955,0
0.8297,48.2,0
0.9295,47.758,0
0.9254,45.141,0
0.814,45.141,0
0.9302,45.141,0
0.8313,45.141,0
0.6924,37.259,0
0.5273,37.259,0
0.439,210.4116147,1
0.2423,210.4116147,1
0.2997,37.624,0
0.1242,38.23,0
0.25,210.4116147,1
0.2322,210.4116147,1
0.1764,47.925,0
0.0874,47.404,0
0.1604,46.683,0
0.1451,45.295,0
0.2132,43.617,0
0.2256,43.55,0
0.2828,44.057,0
0.2325,45.597,0
0.2314,50.515,0
0.3206,53.778,0
0.3086,46.327,0
0.3461,42.263,0
0.4542,42.002,0
0.3561,41.451,0
0.4153,40.622,0
0.4272,38.201,0
0.6107,36.591,0
0.6087,36.591,0
0.6607,36.591,0
0.6639,36.591,0
0.48,36.591,0
0.7064,36.591,0
0.575,36.712,0
0.6315,40.301,0
0.7916,45.429,0
0.5952,38.101,0
0.5561,38.879,0
0.6647,0,0
0.5181,36.985,0
0.4944,37.01,0
0.6073,42.956,0
0.5477,41.768,0
0.4974,44.428,0
0.3377,52.329,0
0.4249,42.044,0
0.3785,41.155,0
0.5223,39.624,0
0.47,38.818,0
0.6632,37.602,0
0.7827,36.591,0
0.7976,33.468,0
0.9619,33.003,0
0.9715,33.003,0
0.9969,33.003,0
0.9986,33.003,0
1,33.003,0
1,34.105,0
1,36.762,1
1,42.724,0
1,35.697,0
1,33.684,0
1,32.416,0
1,32.416,0
0.9944,32.416,0
0.9955,33.767,0
0.8968,34.694,0
0.9857,35.728,0
0.9864,36.36238512,1
0.9664,35.769,0
0.9491,36.07,0
0.918,210.4116147,1
0.956,34.215,0
0.8505,33.799,0
0.8847,33.003,0
0.8401,33.456,0
0.9466,33.456,0
0.7813,33.456,0
0.9143,33.456,0
0.8204,33.456,0
0.8784,33.738,0
0.7979,35.197,0
0.8371,37.644,0
0.4046,210.4116147,1
0.5373,210.4116147,1
0.435,210.4116147,1
