Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised Production
2012-01-02 00.00.00,20.469,13.761,12.71,0.316,0.2745
2012-01-02 01.00.00,20.469,13.761,12.71,0.3395,0.264
2012-01-02 02.00.00,20.469,13.761,12.71,0.3547,0.2824
2012-01-02 03.00.00,20.469,13.761,12.71,0.2963,0.2498
2012-01-02 04.00.00,20.469,13.761,12.71,0.3581,0.2959
2012-01-02 05.00.00,20.469,13.761,12.71,0.4305,0.3151
2012-01-02 06.00.00,22.977,13.983,12.635,0.4692,0.3019
2012-01-02 07.00.00,27.091,14.298,12.729,0.4245,0.2966
2012-01-02 08.00.00,29.188,14.869,12.71,0.4164,0.3344
2012-01-02 09.00.00,28.669,14.055,12.467,0.4618,0.3368
2012-01-02 10.00.00,29.013,14.059,12.411,0.5025,0.3332
2012-01-02 11.00.00,28.248,13.24,12.173,0.604,0.3554
2012-01-02 12.00.00,24.077,13.034,12.173,0.5122,0.279
2012-01-02 13.00.00,23.905,13.034,12.173,0.5893,0.2911
2012-01-02 14.00.00,25.383,13.042,12.467,0.5118,0.3123
2012-01-02 15.00.00,26.25,13.761,12.71,0.5018,0.3374
2012-01-02 16.00.00,26.25,13.865,12.71,0.5977,0.4343
2012-01-02 17.00.00,24.766,13.761,12.71,0.5416,0.459
2012-01-02 18.00.00,24.271,13.761,12.71,0.5201,0.4327
2012-01-02 19.00.00,24.271,13.761,12.71,0.4221,0.4029
2012-01-02 20.00.00,24.271,13.761,12.71,0.3917,0.4068
2012-01-02 21.00.00,23.62,13.761,12.71,0.4251,0.3985
2012-01-02 22.00.00,22.997,13.761,12.71,0.4718,0.3544
2012-01-02 23.00.00,21.135,13.761,12.71,0.5341,0.4113
2012-01-03 00.00.00,22.574,7.839,3.793,0.764,0.4494
2012-01-03 01.00.00,22.574,7.839,3.793,0.6763,0.4268
2012-01-03 02.00.00,22.574,7.839,3.793,0.7896,0.4185
2012-01-03 03.00.00,22.574,7.839,3.793,0.8645,0.4289
2012-01-03 04.00.00,22.574,7.839,3.793,0.867,0.4716
2012-01-03 05.00.00,22.778,7.839,3.793,0.8843,0.485
2012-01-03 06.00.00,23.468,8.084,3.67,0.9463,0.5759
