Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-06 00.00.00,22.013,14.42,11.587,0.2137,0.1804
2014-01-06 01.00.00,22.146,14.42,11.587,0.2254,0.1692
2014-01-06 02.00.00,22.013,14.42,11.587,0.3342,0.2644
2014-01-06 03.00.00,21.615,14.42,11.587,0.3211,0.2751
2014-01-06 04.00.00,21.615,14.42,11.587,0.497,0.4187
2014-01-06 05.00.00,21.682,14.42,11.587,0.7578,0.5802
2014-01-06 06.00.00,24.333,14.333,11.079,0.8609,0.6179
2014-01-06 07.00.00,29.762,14.203,11.088,0.9308,0.7717
2014-01-06 08.00.00,27.016,13.668,11.079,0.9679,0.9189
2014-01-06 09.00.00,23.286,12.806,10.953,0.9834,0.9134
2014-01-06 10.00.00,21.172,10.162,9.824,0.9459,0.7676
2014-01-06 11.00.00,20.81,9.708,9.155,0.9588,0.7173
2014-01-06 12.00.00,20.81,9.708,9.155,0.8991,0.5769
2014-01-06 13.00.00,21.072,9.708,9.18,0.9154,0.5363
2014-01-06 14.00.00,22.119,10.409,10.526,0.6584,0.4138
2014-01-06 15.00.00,24.344,13.28,11.114,0.574,0.3897
2014-01-06 16.00.00,26.142,13.94,11.564,0.5943,0.4318
2014-01-06 17.00.00,24.735,13.94,11.564,0.564,0.4776
2014-01-06 18.00.00,23.563,13.94,11.564,0.5525,0.4592
2014-01-06 19.00.00,23.26,13.94,11.564,0.4466,0.4268
2014-01-06 20.00.00,22.986,13.94,11.564,0.4176,0.4337
2014-01-06 21.00.00,22.986,13.94,11.564,0.4448,0.4161
2014-01-06 22.00.00,21.573,13.94,11.564,0.4724,0.3573
2014-01-06 23.00.00,21.072,13.94,11.564,0.5579,0.4321
2014-01-07 00.00.00,23.286,19.625,4.222,0.7941,0.4688
2014-01-07 01.00.00,23.286,19.625,4.222,0.7094,0.4515
2014-01-07 02.00.00,23.286,19.625,4.222,0.7528,0.393
2014-01-07 03.00.00,23.286,19.625,4.222,0.8384,0.4056
2014-01-07 04.00.00,23.286,19.625,4.222,0.8286,0.4357
2014-01-07 05.00.00,23.389,19.625,4.222,0.8453,0.448
2014-01-07 06.00.00,24.906,19.625,3.985,0.9084,0.5132
2014-01-07 07.00.00,26.998,18.32,3.688,0.9556,0.603
2014-01-07 08.00.00,25.652,18.173,3.688,0.954,0.6341
2014-01-07 09.00.00,24.39,12.007,3.607,0.9917,0.7051
2014-01-07 10.00.00,24.076,8.819,3.607,0.9958,0.6737
2014-01-07 11.00.00,22.681,8.819,3.607,0.9918,0.66
2014-01-07 12.00.00,22.681,8.819,3.654,0.9913,0.7149
2014-01-07 13.00.00,22.931,9.606,3.68,0.9774,0.7424
2014-01-07 14.00.00,23.286,12.689,3.793,0.9647,0.685
