time,Measurement,DA_1,DA_2,DA_3
1/1/2021 0:00,0,0,0,0
1/1/2021 0:15,0,0,0,0
1/1/2021 0:30,0,0,0,0
1/1/2021 0:45,0,0,0,0
1/1/2021 1:00,0,0,0,0
1/1/2021 1:15,0,0,0,0
1/1/2021 1:30,0,0,0,0
1/1/2021 1:45,0,0,0,0
1/1/2021 2:00,0,0,0,0
1/1/2021 2:15,0,0,0,0
1/1/2021 2:30,0,0,0,0
1/1/2021 2:45,0,0,0,0
1/1/2021 3:00,0,0,0,0
1/1/2021 3:15,0,0,0,0
1/1/2021 3:30,0,0,0,0
1/1/2021 3:45,0,0,0,0
1/1/2021 4:00,0,0,0,0
1/1/2021 4:15,0,0,0,0
1/1/2021 4:30,0,0,0,0
1/1/2021 4:45,0,0,0,0
1/1/2021 5:00,0,0,0,0
1/1/2021 5:15,0,0,0,0
1/1/2021 5:30,0,0,0,0
1/1/2021 5:45,0,0,0,0
1/1/2021 6:00,0,0,0,0
1/1/2021 6:15,0,0,0,0
1/1/2021 6:30,0,0,0,0
1/1/2021 6:45,0,0,0,0
1/1/2021 7:00,0,0,0,0
1/1/2021 7:15,0,0,0,0
1/1/2021 7:30,0,0,0,0
1/1/2021 7:45,0,0,0,0
1/1/2021 8:00,0,0,0,0
1/1/2021 8:15,0,0,0,0
1/1/2021 8:30,0,0,0,0
1/1/2021 8:45,0,0,0,0
1/1/2021 9:00,0,0,0,0
1/1/2021 9:15,0,0,0,0
1/1/2021 9:30,0,0,0,0
1/1/2021 9:45,0,0,0,0
1/1/2021 10:00,0,0,0,0
1/1/2021 10:15,0,0,0,0
1/1/2021 10:30,0,0,0,0
1/1/2021 10:45,0,0,0,0
1/1/2021 11:00,0,0,0,0
1/1/2021 11:15,0,0,0,0
1/1/2021 11:30,0,0,0,0
1/1/2021 11:45,0,0,0,0
1/1/2021 12:00,0,0,0,0
1/1/2021 12:15,0,0,0,0
1/1/2021 12:30,0,0,0,0
1/1/2021 12:45,0,0,0,0
1/1/2021 13:00,0,0,0,0
1/1/2021 13:15,0,0,0,0
1/1/2021 13:30,0,0,0,0
1/1/2021 13:45,0,0,0,0
1/1/2021 14:00,0,0,0,0
1/1/2021 14:15,0,0,0,0
1/1/2021 14:30,0,0,0,0
1/1/2021 14:45,0,0,0,0
1/1/2021 15:00,0,0,0,0
1/1/2021 15:15,0,0,0,0
1/1/2021 15:30,0,0,0,0
1/1/2021 15:45,0,0,0,0
1/1/2021 16:00,0,0,0,0
1/1/2021 16:15,0,0,0,0
1/1/2021 16:30,0,0,0,0
1/1/2021 16:45,0,0,0,0
1/1/2021 17:00,0,0,0,0
1/1/2021 17:15,0,0,0,0
1/1/2021 17:30,0,0,0,0
1/1/2021 17:45,0,0,0,0
1/1/2021 18:00,0,0,0,0
1/1/2021 18:15,0,0,0,0
1/1/2021 18:30,0,0,0,0
1/1/2021 18:45,0,0,0,0
1/1/2021 19:00,0,0,0,0
1/1/2021 19:15,0,0,0,0
1/1/2021 19:30,0,0,0,0
1/1/2021 19:45,0,0,0,0
1/1/2021 20:00,0,0,0,0
1/1/2021 20:15,0,0,0,0
1/1/2021 20:30,0,0,0,0
1/1/2021 20:45,0,0,0,0
1/1/2021 21:00,0,0,0,0
1/1/2021 21:15,0,0,0,0
1/1/2021 21:30,0,0,0.0024,0
1/1/2021 21:45,0,0,0.0072,0
1/1/2021 22:00,0,0,0.022575,0
1/1/2021 22:15,0,0,0.020325,0
1/1/2021 22:30,0,0,0.018075,0
1/1/2021 22:45,0,0,0.015825,0
1/1/2021 23:00,0,0,0,0
1/1/2021 23:15,0,0,0.0045375,0
1/1/2021 23:30,0,0,0.0158625,0
1/1/2021 23:45,0,0,0.0271875,0
1/2/2021 0:00,0,0,0.0385125,0
1/2/2021 0:15,0,0,0.0498375,0
1/2/2021 0:30,0,0,0.0611625,0.0071375
1/2/2021 0:45,0,0,0.0724875,0.0214125
1/2/2021 1:00,0,0,0.0943875,0.045775
1/2/2021 1:15,0,0,0.0986625,0.053325
1/2/2021 1:30,0,0,0.1029375,0.060875
1/2/2021 1:45,0,0,0.1072125,0.068425
1/2/2021 2:00,0,0,0.1071,0.0943875
1/2/2021 2:15,0,0,0.1143,0.0896625
1/2/2021 2:30,0,0,0.1215,0.0849375
1/2/2021 2:45,0,0,0.1287,0.0802125
1/2/2021 3:00,0,0,0.1262625,0.077625
1/2/2021 3:15,0,0,0.1398875,0.071475
1/2/2021 3:30,0,0,0.1535125,0.065325
1/2/2021 3:45,0,0,0.1671375,0.059175
1/2/2021 4:00,0,0,0.21065,0.05295
1/2/2021 4:15,0,0,0.20435,0.04685
1/2/2021 4:30,0,0,0.19805,0.04075
1/2/2021 4:45,0,0,0.19175,0.03465
1/2/2021 5:00,0,0,0.1880375,0.025175
1/2/2021 5:15,0,0,0.1800125,0.021325
1/2/2021 5:30,0,0,0.1719875,0.017475
